,lon,lat,alt
2019-08-05 09:12:30,-123.0122150000,48.5461450000,1
2019-08-05 09:13:17,-123.0122130000,48.5461350000,0
2019-08-05 09:13:50,-123.0122080000,48.5461230000,0
2019-08-05 09:15:29,-123.0122070000,48.5461170000,0
2019-08-05 09:16:44,-123.0122030000,48.5461120000,0
2019-08-05 09:17:00,-123.0121920000,48.5461080000,0
2019-08-05 09:17:09,-123.0121780000,48.5461120000,0
2019-08-05 09:17:14,-123.0121650000,48.5461070000,0
2019-08-05 09:17:29,-123.0121620000,48.5461050000,0
2019-08-05 09:17:34,-123.0121750000,48.5461100000,0
2019-08-05 09:18:25,-123.0121850000,48.5461080000,0
2019-08-05 09:19:37,-123.0121970000,48.5461120000,0
2019-08-05 09:21:58,-123.0122030000,48.5461120000,0
2019-08-05 09:22:52,-123.0122180000,48.5461080000,0
2019-08-05 09:24:11,-123.0122280000,48.5461080000,0
2019-08-05 09:27:35,-123.0122370000,48.5461030000,0
2019-08-05 09:29:04,-123.0122370000,48.5461130000,0
2019-08-05 09:29:54,-123.0122330000,48.5461220000,0
2019-08-05 09:30:20,-123.0122220000,48.5461330000,0
2019-08-05 09:31:51,-123.0122170000,48.5461280000,0
2019-08-05 09:32:01,-123.0122120000,48.5461300000,0
2019-08-05 09:32:54,-123.0122180000,48.5461300000,1
2019-08-05 09:35:37,-123.0122300000,48.5461300000,0
2019-08-05 09:37:46,-123.0122400000,48.5461320000,0
2019-08-05 09:42:45,-123.0122420000,48.5461230000,0
2019-08-05 09:48:49,-123.0122500000,48.5461220000,0
2019-08-05 09:52:52,-123.0122520000,48.5461230000,0
2019-08-05 09:55:08,-123.0122430000,48.5461300000,0
2019-08-05 11:42:28,-123.0123670000,48.5453820000,1
2019-08-05 11:42:29,-123.0123670000,48.5453820000,0
2019-08-05 11:42:55,-123.0123700000,48.5453780000,0
2019-08-05 11:43:24,-123.0123600000,48.5453750000,0
2019-08-05 11:44:11,-123.0123470000,48.5453680000,0
2019-08-05 11:44:55,-123.0123450000,48.5453620000,0
2019-08-05 11:46:28,-123.0123430000,48.5453600000,0
2019-08-05 11:51:21,-123.0123370000,48.5453630000,0
2019-08-05 11:52:57,-123.0123370000,48.5453680000,0
2019-08-05 11:53:28,-123.0123430000,48.5453780000,0
2019-08-05 11:53:31,-123.0123450000,48.5453900000,0
2019-08-05 11:53:33,-123.0123450000,48.5454030000,0
2019-08-05 11:53:35,-123.0123420000,48.5454150000,0
2019-08-05 11:53:37,-123.0123380000,48.5454270000,0
2019-08-05 11:53:39,-123.0123350000,48.5454380000,0
2019-08-05 11:53:41,-123.0123330000,48.5454520000,0
2019-08-05 11:53:43,-123.0123320000,48.5454650000,0
2019-08-05 11:53:45,-123.0123320000,48.5454750000,0
2019-08-05 11:53:47,-123.0123330000,48.5454870000,0
2019-08-05 11:53:49,-123.0123370000,48.5454980000,0
2019-08-05 11:53:51,-123.0123400000,48.5455100000,0
2019-08-05 11:53:53,-123.0123450000,48.5455220000,0
2019-08-05 11:53:55,-123.0123480000,48.5455330000,0
2019-08-05 11:53:58,-123.0123500000,48.5455430000,0
2019-08-05 11:54:02,-123.0123450000,48.5455530000,0
2019-08-05 11:54:06,-123.0123330000,48.5455570000,0
2019-08-05 11:54:08,-123.0123200000,48.5455530000,0
2019-08-05 11:54:10,-123.0123000000,48.5455480000,0
2019-08-05 11:54:12,-123.0122750000,48.5455430000,0
2019-08-05 11:54:13,-123.0122600000,48.5455420000,0
2019-08-05 11:54:14,-123.0122450000,48.5455380000,0
